summary,journey_id,end,start
Deploy satellites,21d8fc00-3a80-11f2-8080-808080808080,2027-02-12 00:21:58.000+0000,2027-01-19 17:47:44.000+0000
Bring supplies to space center,55248f80-306b-11f2-8080-808080808080,2027-10-02 17:09:47.000+0000,2027-06-16 05:43:44.000+0000
Go to edge of solar system,a3506a80-2f67-11f2-8080-808080808080,2027-10-24 02:14:53.000+0000,2027-07-07 18:55:27.000+0000
Go to edge of solar system,27292a80-2e74-11f2-8080-808080808080,2027-07-16 09:10:14.000+0000,2027-02-06 00:10:38.000+0000
Test new spacecraft model,299b3400-2b97-11f2-8080-808080808080,2027-07-06 21:09:11.000+0000,2027-01-22 02:14:36.000+0000
Go to edge of solar system,00903300-2794-11f2-8080-808080808080,2027-10-27 15:56:35.000+0000,2027-06-28 16:23:01.000+0000
Crew rotation,0fe97200-2616-11f2-8080-808080808080,2027-12-03 22:30:06.000+0000,2027-07-20 16:15:41.000+0000
Deploy satellites,ccb9c280-24a0-11f2-8080-808080808080,2027-11-07 22:44:41.000+0000,2027-06-03 12:09:55.000+0000
Land on Mars,7430cc80-22ca-11f2-8080-808080808080,2027-07-14 00:59:46.000+0000,2027-02-07 07:45:33.000+0000
Mir crew rotation. Biological experiments and astronomical observations.,1fc1e400-436b-11c6-8080-808080808080,1987-12-29 09:16:00.000+0000,1987-12-21 11:18:00.000+0000
Medical and materials science experiments. Mir repairs.,50e5f000-94cf-11cd-8080-808080808080,1994-11-04 11:18:00.000+0000,1994-07-01 12:24:00.000+0000
Deployment of Laser Geodynamic Satellite II (LAGEOS-II). US Microgravity Payload-1 (USMP-1): physics experiments.,e2c20800-b020-11cb-8080-808080808080,1992-11-01 14:13:00.000+0000,1992-10-22 17:16:00.000+0000
Find new forms of life,a937ef00-7bf0-11f3-8080-808080808080,2028-06-08 20:35:46.000+0000,2028-04-12 00:00:47.000+0000
Tourist flight,6a8be880-782e-11f3-8080-808080808080,2028-07-06 04:43:34.000+0000,2028-04-01 00:46:27.000+0000
Test new spacecraft model,c4776180-746e-11f3-8080-808080808080,2028-07-21 21:16:09.000+0000,2028-07-06 09:49:21.000+0000
Test new spacecraft model,4facda80-7183-11f3-8080-808080808080,2028-08-18 20:29:57.000+0000,2028-02-08 23:54:18.000+0000
Bring supplies to space center,580ae700-6fc4-11f3-8080-808080808080,2028-06-28 13:43:06.000+0000,2028-01-07 19:09:26.000+0000
Crew rotation,37f70b80-6f63-11f3-8080-808080808080,2028-07-07 16:25:39.000+0000,2028-06-15 23:17:51.000+0000
Find new forms of life,714e4080-6dd6-11f3-8080-808080808080,2028-06-12 11:18:11.000+0000,2028-04-06 01:30:46.000+0000
Bring supplies to space center,7d35f600-6d35-11f3-8080-808080808080,2028-07-10 04:33:11.000+0000,2028-06-15 14:16:59.000+0000
Push the boundaries of human exploration,5316f380-6bd0-11f3-8080-808080808080,2028-09-03 19:14:36.000+0000,2028-04-21 13:18:14.000+0000
Push the boundaries of human exploration,7c181100-6631-11f3-8080-808080808080,2028-07-22 04:05:24.000+0000,2028-05-02 06:07:21.000+0000
Deployment of Compton Gamma Ray Observatory.,15c08000-f345-11c9-8080-808080808080,1991-04-11 13:56:00.000+0000,1991-04-05 14:24:00.000+0000
ISS crew rotation.,bf6c0000-43d5-11e6-8080-808080808080,2016-10-30 00:00:00.000+0000,2016-07-07 00:00:00.000+0000
Deployment of Chandra X-ray Observatory. First female Shuttle Commander (Collins).,fd31c800-40b6-11d3-8080-808080808080,1999-07-28 03:17:00.000+0000,1999-07-23 04:28:00.000+0000
"U.S. Department of Defense mission. Classified payload, reportedly Lacrosse 1 radar reconnaissance satellite.",8da7d400-5433-11c7-8080-808080808080,1988-12-06 23:43:00.000+0000,1988-12-02 14:38:00.000+0000
Mir crew rotation and resupply.,347ce600-834f-11d0-8080-808080808080,1997-03-02 06:43:00.000+0000,1997-02-10 14:09:00.000+0000
"First American manned suborbital spaceflight (altitude 187 kilometres, 116 miles).",2396fc00-68cd-11a8-8080-808080808080,1961-05-05 14:49:00.000+0000,1961-05-05 14:34:00.000+0000
Spent almost two months in space. Miscellaneous scientific experiments.,b73c7400-1edf-11b6-8080-808080808080,1973-09-25 22:19:00.000+0000,1973-07-28 11:10:00.000+0000
Unsuccessful attempt to board Salyut 1 space station.,6e621c00-956e-11b3-8080-808080808080,1971-04-25 23:39:00.000+0000,1971-04-23 23:54:00.000+0000
Hubble Space Telescope servicing.,62deac00-b677-11d3-8080-808080808080,1999-12-28 00:01:00.000+0000,1999-12-20 00:50:00.000+0000
ISS assembly,4e6a0000-4542-11dc-8080-808080808080,2007-08-21 00:00:00.000+0000,2007-08-08 00:00:00.000+0000
Mir crew rotation. First Kazakh in space (Aubakirov). First Austrian in space (Vieb̦ck).,5be66a00-8070-11ca-8080-808080808080,1992-03-25 08:51:00.000+0000,1991-10-02 05:59:00.000+0000
Fourth human spaceflight and first manned space station docking for China.,373a8000-b746-11e1-8080-808080808080,2012-06-29 00:00:00.000+0000,2012-06-16 00:00:00.000+0000
Second woman in space (Savitskaya).,82443000-474b-11c0-8080-808080808080,1982-08-27 15:04:00.000+0000,1982-08-19 17:12:00.000+0000
Failed to board Salyut 6 space station.,9de38000-d404-11ba-8080-808080808080,1977-10-11 03:24:00.000+0000,1977-10-09 02:40:00.000+0000
Longest solo spaceflight.,0e6f1a00-c5c9-11aa-8080-808080808080,1963-06-19 11:05:00.000+0000,1963-06-14 11:59:00.000+0000
Deployment of defense communications satellite. Long Duration Exposure Facility (LDEF) retrieval.,4168a200-90d1-11c8-8080-808080808080,1990-01-20 09:43:00.000+0000,1990-01-09 12:43:00.000+0000
Further system testing. Miscellaneous scientific experiments and Earth science observations.,99620000-d162-11bf-8080-808080808080,1982-03-30 16:04:00.000+0000,1982-03-22 16:00:00.000+0000
Spent almost three months in space. Miscellaneous scientific experiments conducted.,fe867600-7630-11b6-8080-808080808080,1974-02-08 15:16:00.000+0000,1973-11-16 14:01:00.000+0000
Testing of experimental solar arrays. Three satellites deployed.,dc962200-8e36-11c2-8080-808080808080,1984-09-05 13:39:00.000+0000,1984-08-30 12:43:00.000+0000
Land on Mars,ec5c5000-72f7-11f5-8080-808080808080,2030-11-07 00:31:16.000+0000,2030-08-14 00:36:08.000+0000
Bring passengers to the moon,85685b00-7180-11f5-8080-808080808080,2030-11-24 17:19:55.000+0000,2030-04-09 07:09:37.000+0000
Find new forms of life,b871af80-6d78-11f5-8080-808080808080,2030-03-04 06:03:56.000+0000,2030-02-09 06:55:23.000+0000
Crew rotation,bd431480-6a95-11f5-8080-808080808080,2030-03-29 19:42:16.000+0000,2030-03-26 17:05:31.000+0000
Crew rotation,c9e34200-699b-11f5-8080-808080808080,2030-11-26 11:11:54.000+0000,2030-03-01 18:15:40.000+0000
Test new spacecraft model,d30e9f00-667b-11f5-8080-808080808080,2030-03-19 08:23:41.000+0000,2030-02-24 01:20:18.000+0000
Land on Mars,0e57a080-6671-11f5-8080-808080808080,2030-08-27 15:14:38.000+0000,2030-02-23 07:52:39.000+0000
Push the boundaries of human exploration,42619180-659d-11f5-8080-808080808080,2030-11-13 19:26:32.000+0000,2030-04-23 09:25:52.000+0000
Test new spacecraft model,5d1cf480-643d-11f5-8080-808080808080,2030-11-08 12:12:15.000+0000,2030-02-02 22:58:21.000+0000
Go to edge of solar system,e5959800-6431-11f5-8080-808080808080,2030-03-16 22:48:31.000+0000,2030-01-22 17:27:06.000+0000
First human spaceflight of the Peoples Republic of China.,e6c0a800-feaa-11d7-8080-808080808080,2003-10-15 22:23:00.000+0000,2003-10-15 01:00:00.000+0000
Atmospheric Laboratory for Applications and Science (ATLAS-1): international experiments in atmospheric and astronomical research. First Belgian in space (Frimout).,ad105000-0967-11cb-8080-808080808080,1992-04-02 11:21:00.000+0000,1992-03-24 13:12:00.000+0000
ISS crew rotation.,f9a3dc00-1d8d-11d9-8080-808080808080,2004-10-24 00:36:00.000+0000,2004-10-14 03:06:00.000+0000
Push the boundaries of human exploration,ead9a100-c2bb-11f1-8080-808080808080,2026-01-12 03:35:26.000+0000,2026-01-09 07:11:51.000+0000
Find new forms of life,f221d300-baa1-11f1-8080-808080808080,2026-12-22 21:29:37.000+0000,2026-10-08 01:59:38.000+0000
Tourist flight,28faff00-b11a-11f1-8080-808080808080,2026-05-29 02:36:05.000+0000,2026-05-10 04:50:02.000+0000
Tourist flight,2ec6f500-b0c6-11f1-8080-808080808080,2026-09-05 02:17:02.000+0000,2026-08-22 14:54:27.000+0000
Test new spacecraft model,2b3f2880-a3ba-11f1-8080-808080808080,2026-12-13 16:04:39.000+0000,2026-03-26 04:15:49.000+0000
Deploy new internet beacons,5f09d380-9e39-11f1-8080-808080808080,2026-10-04 04:44:27.000+0000,2026-07-26 10:17:35.000+0000
Bring passengers to the moon,238cdd80-9d43-11f1-8080-808080808080,2026-10-24 13:16:49.000+0000,2026-07-14 18:30:12.000+0000
Land on Mars,22e4f780-998f-11f1-8080-808080808080,2026-11-20 05:39:53.000+0000,2026-02-09 00:30:26.000+0000
Bring supplies to space center,41c93a00-8b05-11f1-8080-808080808080,2026-04-27 21:01:18.000+0000,2026-02-15 20:20:06.000+0000
Tourist flight,385c8980-88db-11f1-8080-808080808080,2026-09-07 21:02:28.000+0000,2026-04-10 21:47:39.000+0000
First East German in space (J_hn).,eb162200-d0a8-11bb-8080-808080808080,1978-09-03 11:40:00.000+0000,1978-08-26 14:51:00.000+0000
Assessment of Salyut 5 stations military surveillance capabilities.,e4e51600-6adb-11b9-8080-808080808080,1976-08-24 18:32:00.000+0000,1976-07-06 12:09:00.000+0000
First backup crew to fly space mission.,c8e93200-1a6f-11ae-8080-808080808080,1966-06-06 13:59:00.000+0000,1966-06-03 13:39:00.000+0000
ISS crew rotation and assembly,a0024000-d50f-11dc-8080-808080808080,2008-02-20 00:00:00.000+0000,2008-02-07 00:00:00.000+0000
First \"Return to Flight\" Space Shuttle mission after Challenger Disaster. Deployment of Tracking and Data Relay Satellite-3 (TDRS-3).,02238400-21f3-11c7-8080-808080808080,1988-10-03 16:50:00.000+0000,1988-09-29 15:50:00.000+0000
First Space Shuttle EVA (Peterson and Musgrave). Deployment of first Tracking and Data Relay Satellite (TDRS-1). Miscellaneous science experiments.,2df28400-fa80-11c0-8080-808080808080,1983-04-09 18:53:00.000+0000,1983-04-04 18:30:00.000+0000
Crew rotation,0b43a800-10d0-11ef-8080-808080808080,2024-09-03 14:59:22.000+0000,2024-05-22 11:03:33.000+0000
Find new forms of life,9b009c80-09d4-11ef-8080-808080808080,2024-05-05 02:29:06.000+0000,2024-03-18 02:30:28.000+0000
Deploy new internet beacons,f7402e00-02fb-11ef-8080-808080808080,2024-09-03 05:27:36.000+0000,2024-06-14 01:02:31.000+0000
Push the boundaries of human exploration,70218080-f767-11ee-8080-808080808080,2024-04-18 21:34:30.000+0000,2024-01-06 10:48:19.000+0000
Tourist flight,b7392700-f557-11ee-8080-808080808080,2024-05-07 20:08:15.000+0000,2024-03-17 17:06:08.000+0000
Crew rotation,21b92400-f160-11ee-8080-808080808080,2024-11-26 16:12:08.000+0000,2024-07-12 09:54:26.000+0000
Crew rotation,63928d80-f0c0-11ee-8080-808080808080,2024-02-02 19:03:55.000+0000,2024-01-09 04:30:29.000+0000
Go to edge of solar system,e6affd00-e72a-11ee-8080-808080808080,2024-06-24 01:45:20.000+0000,2024-04-10 18:23:33.000+0000
Bring supplies to space center,7bb6ba00-e4cf-11ee-8080-808080808080,2024-11-21 03:43:14.000+0000,2024-04-03 02:16:08.000+0000
Bring supplies to space center,a594c000-e480-11ee-8080-808080808080,2024-12-22 00:32:14.000+0000,2024-08-17 02:54:47.000+0000
Deployment and retrieval of Wake Shield Facility and German-built Orbiting and Retrievable Far and Extreme Ultraviolet Spectrograph-Shuttle Pallet Satellite II (ORFEUS-SPAS II).,ca204200-4246-11d0-8080-808080808080,1996-12-07 11:49:00.000+0000,1996-11-19 19:55:00.000+0000
Go to edge of solar system,abcdc500-782d-11f6-8080-808080808080,2030-12-19 16:52:31.000+0000,2030-06-14 14:45:13.000+0000
Go to edge of solar system,17732080-75e9-11f6-8080-808080808080,2030-04-16 11:01:21.000+0000,2030-04-12 04:34:04.000+0000
Deploy new internet beacons,21f5b800-5f60-11f6-8080-808080808080,2030-03-20 00:30:59.000+0000,2030-01-05 18:11:49.000+0000
Tourist flight,a15bc480-4134-11f6-8080-808080808080,2030-09-09 09:58:28.000+0000,2030-03-03 06:25:54.000+0000
Bring supplies to space center,4cf55d80-19ab-11f6-8080-808080808080,2030-06-08 18:26:08.000+0000,2030-01-24 20:07:25.000+0000
Go to edge of solar system,1668f700-1874-11f6-8080-808080808080,2030-03-29 13:11:36.000+0000,2030-01-04 16:55:43.000+0000
Find new forms of life,6a042200-182d-11f6-8080-808080808080,2030-03-17 04:00:26.000+0000,2030-03-06 14:19:19.000+0000
Test new spacecraft model,3174cc00-1387-11f6-8080-808080808080,2030-08-22 18:46:35.000+0000,2030-03-04 09:13:49.000+0000
Tourist flight,d8428b00-09cb-11f6-8080-808080808080,2030-04-26 18:17:32.000+0000,2030-04-10 08:19:05.000+0000
Push the boundaries of human exploration,c2c7b580-0295-11f6-8080-808080808080,2030-12-15 08:08:20.000+0000,2030-11-18 13:08:00.000+0000
,4ebbc400-f8a3-11b1-8080-808080808080,1969-11-24 20:58:00.000+0000,1969-11-14 16:22:00.000+0000
"U.S. Department of Defense mission. Part-classified payload, including various science experiments and observations.",ba4a7200-053f-11ca-8080-808080808080,1991-05-06 18:53:00.000+0000,1991-04-28 11:31:00.000+0000
"Ansari X Prize flight #2, winning the prize.",86bf9600-1614-11d9-8080-808080808080,2004-10-04 15:12:00.000+0000,2004-10-04 14:49:00.000+0000
First ISS Expedition Crew.,d5105600-af02-11d4-8080-808080808080,2001-03-21 07:31:00.000+0000,2000-10-31 07:53:00.000+0000
Bring supplies to space center,22143680-8ebb-11ea-8080-808080808080,2020-11-12 19:12:55.000+0000,2020-10-11 13:40:24.000+0000
Deploy satellites,42c98700-8dfc-11ea-8080-808080808080,2020-07-17 07:48:10.000+0000,2020-07-08 11:12:57.000+0000
Push the boundaries of human exploration,80668400-89a6-11ea-8080-808080808080,2020-05-24 00:12:31.000+0000,2020-03-08 02:58:47.000+0000
Crew rotation,af5df680-88cf-11ea-8080-808080808080,2020-11-17 18:15:01.000+0000,2020-10-02 23:06:12.000+0000
Tourist flight,4b6e7380-77e4-11ea-8080-808080808080,2020-12-27 14:56:14.000+0000,2020-05-17 18:43:09.000+0000
Bring passengers to the moon,a3acc380-70c8-11ea-8080-808080808080,2020-11-17 06:44:19.000+0000,2020-04-27 21:40:17.000+0000
Test new spacecraft model,5c31f780-6e7c-11ea-8080-808080808080,2020-11-29 12:23:02.000+0000,2020-09-28 16:13:31.000+0000
Deploy satellites,1e418480-6b99-11ea-8080-808080808080,2020-12-06 01:53:03.000+0000,2020-02-04 10:54:29.000+0000
Land on Mars,bc5f0e80-6a22-11ea-8080-808080808080,2020-11-17 19:56:56.000+0000,2020-01-28 18:39:09.000+0000
Tourist flight,dd0a9880-60f3-11ea-8080-808080808080,2020-10-13 10:11:10.000+0000,2020-01-08 22:00:37.000+0000
Disintegrated 73 seconds after launch with loss of all crew.,2dfe6400-23d1-11c4-8080-808080808080,1986-01-28 16:39:00.000+0000,1986-01-28 16:38:00.000+0000
Deploy new internet beacons,c89d1700-6f92-11ed-8080-808080808080,2022-12-08 21:58:43.000+0000,2022-05-10 02:17:34.000+0000
Land on Mars,43f73580-5ecb-11ed-8080-808080808080,2022-10-27 01:41:04.000+0000,2022-09-07 09:44:58.000+0000
Tourist flight,40fbcb80-4f43-11ed-8080-808080808080,2022-10-27 14:43:36.000+0000,2022-01-27 22:28:54.000+0000
Bring supplies to space center,05a89880-37ef-11ed-8080-808080808080,2022-11-14 08:26:21.000+0000,2022-09-19 07:45:25.000+0000
Tourist flight,4b8a6600-2eab-11ed-8080-808080808080,2022-12-21 08:24:41.000+0000,2022-10-19 00:16:19.000+0000
Crew rotation,bc248900-2e91-11ed-8080-808080808080,2022-06-29 06:06:50.000+0000,2022-02-08 07:09:46.000+0000
Crew rotation,2391aa80-2043-11ed-8080-808080808080,2022-09-08 15:53:05.000+0000,2022-04-25 22:09:09.000+0000
Deploy new internet beacons,190ea280-1d1d-11ed-8080-808080808080,2022-04-26 20:32:29.000+0000,2022-01-03 06:06:49.000+0000
Deploy new internet beacons,9222fc00-fe39-11ec-8080-808080808080,2022-03-21 13:16:57.000+0000,2022-01-22 17:16:14.000+0000
Deploy satellites,d8b45480-f523-11ec-8080-808080808080,2022-08-21 05:13:56.000+0000,2022-08-16 04:37:13.000+0000
Three communications satellites deployed. Miscellaneous scientific experiments. First Saudi and the first Arab in space (Al-Saud).,03dfb200-72d8-11c3-8080-808080808080,1985-06-24 13:10:00.000+0000,1985-06-17 11:31:00.000+0000
Tourist flight,2f90b100-5534-11f4-8080-808080808080,2029-06-29 23:56:50.000+0000,2029-04-22 15:25:38.000+0000
Deploy new internet beacons,2d752500-5529-11f4-8080-808080808080,2029-02-02 09:59:20.000+0000,2029-01-06 23:21:31.000+0000
Test new spacecraft model,6342dc80-5449-11f4-8080-808080808080,2029-10-04 20:12:22.000+0000,2029-09-22 18:56:23.000+0000
Test new spacecraft model,0b3d4d80-4fe5-11f4-8080-808080808080,2029-12-08 02:49:49.000+0000,2029-07-01 09:14:07.000+0000
Find new forms of life,9779ce80-4a41-11f4-8080-808080808080,2029-05-24 03:42:41.000+0000,2029-03-21 15:54:47.000+0000
Find new forms of life,b5b7c100-48bf-11f4-8080-808080808080,2029-11-10 00:02:58.000+0000,2029-04-23 22:26:27.000+0000
Crew rotation,03b6cf80-4894-11f4-8080-808080808080,2029-11-01 18:23:52.000+0000,2029-02-25 11:07:48.000+0000
Find new forms of life,4335db00-4804-11f4-8080-808080808080,2029-02-16 22:53:55.000+0000,2029-01-29 00:27:19.000+0000
Bring supplies to space center,55c1ee80-46f6-11f4-8080-808080808080,2029-07-26 05:34:32.000+0000,2029-05-23 11:00:59.000+0000
Deploy satellites,69cef880-45ef-11f4-8080-808080808080,2029-09-09 07:29:07.000+0000,2029-01-16 06:49:11.000+0000
Retrieval and redeployment of INTELSAT VI (F-3) satellite. Demonstration of maintenance and assembly capabilities for Space Station Freedom.,65156600-2c53-11cb-8080-808080808080,1992-05-16 21:03:00.000+0000,1992-05-07 23:45:00.000+0000
ISS crew rotation.,8a280000-c729-11e2-8080-808080808080,2013-11-11 00:00:00.000+0000,2013-05-28 00:00:00.000+0000
First space shuttle flight. Systems test.,14366000-c2f0-11be-8080-808080808080,1981-04-14 18:20:00.000+0000,1981-04-12 12:00:00.000+0000
German-sponsored Spacelab flight: miscellaneous science experiments.,23cfdc00-416c-11cc-8080-808080808080,1993-05-05 14:29:00.000+0000,1993-04-25 14:50:00.000+0000
Mir crew rotation. First EVA by a German cosmonaut (Reiter).,e480e800-e5ce-11ce-8080-808080808080,1996-02-29 10:42:00.000+0000,1995-09-03 09:00:00.000+0000
First flawless Mercury mission.,977b6200-fe3b-11a9-8080-808080808080,1962-10-03 22:28:00.000+0000,1962-10-03 13:15:00.000+0000
ISS construction and supply. Delivery of the first set of solar arrays and batteries.,dff31c00-c736-11d4-8080-808080808080,2000-12-11 23:03:00.000+0000,2000-12-01 03:06:00.000+0000
"ISS crew rotation, assembly and supply.",0ee88400-8dd4-11d5-8080-808080808080,2001-08-22 18:23:00.000+0000,2001-08-10 21:10:00.000+0000
Push the boundaries of human exploration,6a7ffb80-ad3d-11f3-8080-808080808080,2028-07-18 19:07:34.000+0000,2028-02-23 07:15:15.000+0000
Deploy new internet beacons,89e6b980-a77c-11f3-8080-808080808080,2028-12-25 09:21:25.000+0000,2028-08-25 15:32:10.000+0000
Crew rotation,fb007f80-a730-11f3-8080-808080808080,2028-07-10 14:42:46.000+0000,2028-03-11 16:53:44.000+0000
Land on Mars,4b681980-9eb5-11f3-8080-808080808080,2028-08-21 18:48:30.000+0000,2028-05-10 15:09:03.000+0000
Go to edge of solar system,94511a00-9886-11f3-8080-808080808080,2028-09-10 16:22:07.000+0000,2028-03-24 21:06:50.000+0000
Go to edge of solar system,d01cae80-97b6-11f3-8080-808080808080,2028-07-28 07:33:24.000+0000,2028-03-18 22:34:40.000+0000
Crew rotation,6c111380-8f88-11f3-8080-808080808080,2028-09-10 00:03:53.000+0000,2028-01-26 20:28:15.000+0000
Land on Mars,27439900-8f04-11f3-8080-808080808080,2028-12-23 20:38:08.000+0000,2028-07-16 16:11:16.000+0000
Bring supplies to space center,4a2e1180-8aee-11f3-8080-808080808080,2028-11-20 18:43:55.000+0000,2028-08-16 19:35:06.000+0000
Go to edge of solar system,4a2c7280-8459-11f3-8080-808080808080,2028-07-05 20:47:53.000+0000,2028-05-16 11:42:27.000+0000
Sixth and last lunar landing. Third and last Lunar Rover.  Third and last deep space EVA.,08ed8e00-6799-11b5-8080-808080808080,1972-12-19 19:24:00.000+0000,1972-12-07 05:33:00.000+0000
50th Space Shuttle mission. Joint NASA and NASDA mission. Conducted microgravity investigations in materials and life sciences. First African-American woman in space (Jemison).,3b090000-909a-11cb-8080-808080808080,1992-09-20 12:55:00.000+0000,1992-09-12 14:24:00.000+0000
Deployment of Tracking and Data Relay Satellite-4 (TDRS-4). Miscellaneous science experiments.,3e0e6800-a393-11c7-8080-808080808080,1989-03-18 14:31:00.000+0000,1989-03-13 14:52:00.000+0000
Galileo probe deployed.,afaf3400-4fbc-11c8-8080-808080808080,1989-10-23 16:41:00.000+0000,1989-10-18 17:02:00.000+0000
Mir crew rotation. First Slovak in space (Bella).,3e5d4c00-c87b-11d2-8080-808080808080,1999-02-28 02:14:00.000+0000,1999-02-20 04:18:00.000+0000
First SPACEHAB flight: biomedical and materials sciences experiments. Retrieval of ESAs EURECA (European Retrievable Carrier).,31ca7200-6e28-11cc-8080-808080808080,1993-07-01 12:51:00.000+0000,1993-06-21 13:07:00.000+0000
ISS crew rotation.,16524000-9099-11e0-8080-808080808080,2011-11-22 00:00:00.000+0000,2011-06-07 00:00:00.000+0000
First African-American in space (Bluford). First night launch and landing. Deployed INSAT-1B satellite for India. Observation of behavior of rats in space.,65673000-6e68-11c1-8080-808080808080,1983-09-05 07:40:00.000+0000,1983-08-30 06:32:00.000+0000
SPACEHAB-2: materials science and life sciences investigations. Wake Shield Facility-1 deployment. Medical and radiological investigations. First Russian to fly aboard the Space Shuttle (Krikalev).,66223400-2081-11cd-8080-808080808080,1994-02-11 19:24:00.000+0000,1994-02-03 12:14:00.000+0000
,e64c6a00-0936-11c7-8080-808080808080,1989-04-27 02:59:00.000+0000,1988-08-29 04:23:00.000+0000
Mir crew rotation and maintenance.,e2e92c00-4915-11c5-8080-808080808080,1987-07-30 01:04:00.000+0000,1987-02-05 21:38:00.000+0000
ISS logistics and crew rotation,587fc000-b2a8-11dd-8080-808080808080,2008-11-30 00:00:00.000+0000,2008-11-15 00:00:00.000+0000
Deploy satellites,1fc7bc00-a3de-11f6-8080-808080808080,2031-08-17 09:59:04.000+0000,2031-04-26 10:14:13.000+0000
Test new spacecraft model,331d3080-a200-11f6-8080-808080808080,2031-11-14 07:25:43.000+0000,2031-10-14 09:30:54.000+0000
Deploy new internet beacons,bdb92200-9fab-11f6-8080-808080808080,2031-08-25 15:41:11.000+0000,2031-01-01 09:36:25.000+0000
Tourist flight,96425680-9ed2-11f6-8080-808080808080,2031-08-09 11:45:27.000+0000,2031-06-17 17:14:25.000+0000
Push the boundaries of human exploration,e7c83000-8c09-11f6-8080-808080808080,2031-06-29 05:32:32.000+0000,2031-01-10 17:33:19.000+0000
Test new spacecraft model,fa511980-892a-11f6-8080-808080808080,2031-11-27 06:12:27.000+0000,2031-04-12 23:27:17.000+0000
Tourist flight,5199b000-887f-11f6-8080-808080808080,2031-11-28 12:32:24.000+0000,2031-01-09 17:51:57.000+0000
Crew rotation,6a489c80-8864-11f6-8080-808080808080,2031-09-03 20:13:08.000+0000,2031-08-10 03:12:20.000+0000
Crew rotation,e52b7f00-86cd-11f6-8080-808080808080,2031-11-21 13:05:45.000+0000,2031-11-19 12:48:33.000+0000
Deploy satellites,dd537280-81d5-11f6-8080-808080808080,2031-07-07 04:26:40.000+0000,2031-02-19 00:03:20.000+0000
First human spaceflight of commercial spaceship.,9252be00-c391-11d8-8080-808080808080,2004-06-21 15:15:00.000+0000,2004-06-21 14:45:00.000+0000
ISS crew rotation. Space tourist flight.,ed9ac000-e49a-11db-8080-808080808080,2007-10-21 00:00:00.000+0000,2007-04-07 00:00:00.000+0000
